"No.","Time","Source","Destination","Protocol","Length","srcport","dstport"
"1","12:37:03.460416","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"2","12:37:03.460503","192.168.1.102","111.122.110.131","UDP","458","14786","54321"
"3","12:37:03.502481","192.168.1.102","111.122.110.131","UDP","1479","14786","54321"
"4","12:37:03.516308","111.122.110.131","192.168.1.102","UDP","91","54321","14786"
"5","12:37:03.516394","192.168.1.102","111.122.110.131","UDP","170","14786","54321"
"6","12:37:03.563539","192.168.1.102","151.56.84.47","UDP","62","43759","35024"
"7","12:37:03.563597","192.168.1.102","95.187.84.24","UDP","62","43759","42984"
"8","12:37:03.563619","192.168.1.102","115.96.170.46","UDP","62","43759","39902"
"9","12:37:03.563638","192.168.1.102","82.178.228.116","UDP","62","43759","60333"
"10","12:37:03.563667","192.168.1.102","69.165.192.130","UDP","62","43759","43967"
"11","12:37:03.567536","192.168.1.102","111.122.110.131","UDP","1482","14786","54321"
"12","12:37:03.581968","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"13","12:37:03.582052","192.168.1.102","111.122.110.131","DCP-AF","145","14786","54321"
"14","12:37:03.629654","192.168.1.102","111.122.110.131","UDP","1481","14786","54321"
"15","12:37:03.629732","192.168.1.102","61.159.70.106","UDP","121","14786","38696"
"16","12:37:03.648727","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"17","12:37:03.648823","192.168.1.102","111.122.110.131","UDP","136","14786","54321"
"18","12:37:03.684523","111.122.110.131","192.168.1.102","UDP","90","54321","14786"
"19","12:37:03.691678","192.168.1.102","61.159.70.106","UDP","1482","14786","38696"
"20","12:37:03.754740","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"21","12:37:03.764728","61.159.70.106","192.168.1.102","UDP","90","38696","14786"
"22","12:37:03.764829","192.168.1.102","61.159.70.106","UDP","231","14786","38696"
"23","12:37:03.768130","61.159.70.106","192.168.1.102","UDP","142","38696","14786"
"24","12:37:03.768133","61.159.70.106","192.168.1.102","UDP","90","38696","14786"
"25","12:37:03.768134","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"26","12:37:03.768419","192.168.1.102","61.159.70.106","UDP","88","14786","38696"
"27","12:37:03.815814","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"28","12:37:03.849236","61.159.70.106","192.168.1.102","UDP","92","38696","14786"
"29","12:37:03.849237","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"30","12:37:03.849237","111.122.110.131","192.168.1.102","UDP","142","54321","14786"
"31","12:37:03.849348","192.168.1.102","61.159.70.106","UDP","145","14786","38696"
"32","12:37:03.879822","192.168.1.102","111.122.110.131","UDP","89","14786","54321"
"33","12:37:03.879959","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"34","12:37:03.942799","192.168.1.102","61.159.70.106","UDP","1481","14786","38696"
"35","12:37:04.002903","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"36","12:37:04.065976","192.168.1.102","61.159.70.106","UDP","1479","14786","38696"
"37","12:37:04.097944","192.168.1.102","46.152.55.8","TCP","54","52085","63211"
"38","12:37:04.114121","192.168.1.102","239.255.255.250","SSDP","215","49824","1900"
"39","12:37:04.130007","192.168.1.102","61.159.70.106","UDP","1479","14786","38696"
"40","12:37:04.192079","192.168.1.102","61.159.70.106","UDP","1481","14786","38696"
"41","12:37:04.255094","192.168.1.102","61.159.70.106","UDP","1482","14786","38696"
"42","12:37:04.315107","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"43","12:37:04.316332","192.168.1.102","162.226.53.149","TCP","66","52098","30030"
"44","12:37:04.316441","192.168.1.102","162.226.53.149","UDP","62","43759","30030"
"45","12:37:04.380115","192.168.1.102","61.159.70.106","UDP","928","14786","38696"
"46","12:37:04.380218","192.168.1.102","111.122.110.131","UDP","1304","14786","54321"
"47","12:37:04.380438","192.168.1.102","218.9.204.163","UDP","44","25165","5624"
"48","12:37:04.380505","192.168.1.102","123.118.177.201","UDP","44","25165","5621"
"49","12:37:04.380594","192.168.1.102","222.172.188.179","eDonkey","44","25165","4672"
"50","12:37:04.380646","192.168.1.102","61.59.227.61","UDP","44","25165","14776"
"51","12:37:04.380701","192.168.1.102","83.40.4.252","eDonkey","69","25165","4672"
"52","12:37:04.380740","192.168.1.102","68.196.213.226","UDP","44","25165","4178"
"53","12:37:04.380780","192.168.1.102","81.190.241.78","eDonkey","69","25165","4672"
"54","12:37:04.443236","192.168.1.102","111.122.110.131","UDP","1474","14786","54321"
"55","12:37:04.504284","192.168.1.102","111.122.110.131","UDP","1480","14786","54321"
"56","12:37:04.565359","192.168.1.102","111.122.110.131","UDP","1479","14786","54321"
"57","12:37:04.607353","192.168.1.102","220.181.111.188","TCP","54","52097","443"
"58","12:37:04.628385","192.168.1.102","111.122.110.131","UDP","1480","14786","54321"
"59","12:37:04.646306","111.122.110.131","192.168.1.102","UDP","91","54321","14786"
"60","12:37:04.646402","192.168.1.102","111.122.110.131","UDP","115","14786","54321"
"61","12:37:04.690443","192.168.1.102","111.122.110.131","UDP","1475","14786","54321"
"62","12:37:04.727373","61.159.70.106","192.168.1.102","UDP","93","38696","14786"
"63","12:37:04.753515","192.168.1.102","111.122.110.131","UDP","1481","14786","54321"
"64","12:37:04.768415","IntelCor_66:84:ce","Broadcast","ARP","42","",""
"65","12:37:04.810061","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
